day	stream	len	count
20220428	orders	8	27855977
20220428	orders	9	68077391
20220428	trades	8	21740631
20220428	trades	9	58973984
20220428	xinqing	8	1969921
20220428	xinqing	9	11028896
20220429	orders	8	27933741
20220429	orders	9	76119936
20220429	trades	8	21823597
20220429	trades	9	66728287
20220429	xinqing	8	1962959
20220429	xinqing	9	11244383
20220505	orders	8	28929944
20220505	orders	9	66743639
20220505	trades	8	23021652
20220505	trades	9	58617915
20220505	xinqing	8	1957272
20220505	xinqing	9	10823034
20220506	orders	8	28029374
20220506	orders	9	61743535
20220506	trades	8	21614116
20220506	trades	9	54318512
20220506	xinqing	8	1967076
20220506	xinqing	9	10666815
20220509	orders	8	25400364
20220509	orders	9	56347115
20220509	trades	8	19331809
20220509	trades	9	48634070
20220509	xinqing	8	1907432
20220509	xinqing	9	10487244
20220510	orders	8	28467853
20220510	orders	9	67265727
20220510	trades	8	21922255
20220510	trades	9	57326468
20220510	xinqing	8	1935362
20220510	xinqing	9	10950789
20220511	orders	8	29131261
20220511	orders	9	75617991
20220511	trades	8	21971521
20220511	trades	9	66113046
20220511	xinqing	8	1937384
20220511	xinqing	9	11140751
20220512	orders	8	28379255
20220512	orders	9	65062006
20220512	trades	8	20855743
20220512	trades	9	54976475
20220512	xinqing	8	1946731
20220512	xinqing	9	10741725
20220513	orders	8	26658541
20220513	orders	9	60327987
20220513	trades	8	19444757
20220513	trades	9	50823050
20220513	xinqing	8	1907555
20220513	xinqing	9	10591359
20220516	orders	8	28354560
20220516	orders	9	61404595
20220516	trades	8	21513577
20220516	trades	9	52494396
20220516	xinqing	8	1936783
20220516	xinqing	9	10637028
20220517	orders	8	27412039
20220517	orders	9	61074682
20220517	trades	8	20534387
20220517	trades	9	51636467
20220517	xinqing	8	1907583
20220517	xinqing	9	10559118
20220518	orders	8	25846234
20220518	orders	9	61147585
20220518	trades	8	19026615
20220518	trades	9	51964315
20220518	xinqing	8	1931025
20220518	xinqing	9	10766549
20220519	orders	8	27424375
20220519	orders	9	63227046
20220519	trades	8	20399427
20220519	trades	9	53133414
20220519	xinqing	8	1943674
20220519	xinqing	9	10777153
20220520	orders	8	28390353
20220520	orders	9	65386494
20220520	trades	8	21156567
20220520	trades	9	56174153
20220520	xinqing	8	1936247
20220520	xinqing	9	10913010
20220523	orders	8	27262523
20220523	orders	9	61092449
20220523	trades	8	20600032
20220523	trades	9	52976063
20220523	xinqing	8	1943645
20220523	xinqing	9	10832611
20220524	orders	8	29217940
20220524	orders	9	72499195
20220524	trades	8	22313355
20220524	trades	9	64807778
20220524	xinqing	8	1945480
20220524	xinqing	9	11386642
20220525	orders	8	26799513
20220525	orders	9	59765206
20220525	trades	8	19933185
20220525	trades	9	50805108
20220525	xinqing	8	1961044
20220525	xinqing	9	10747221
20220526	orders	8	28114430
20220526	orders	9	63785656
20220526	trades	8	21166810
20220526	trades	9	53537663
20220526	xinqing	8	1960888
20220526	xinqing	9	7548464
20220527	orders	8	27012801
20220527	orders	9	62718030
20220527	trades	8	19719904
20220527	trades	9	53484914
20220527	xinqing	8	1916182
20220527	xinqing	9	10618234
20220530	orders	8	27987492
20220530	orders	9	61565033
20220530	trades	8	21168115
20220530	trades	9	52299127
20220530	xinqing	8	1936034
20220530	xinqing	9	10757583
20220531	orders	8	28583792
20220531	orders	9	64297604
20220531	trades	8	21497024
20220531	trades	9	55007363
20220531	xinqing	8	1936497
20220531	xinqing	9	11029762
20220601	orders	8	27778529
20220601	orders	9	64089550
20220601	trades	8	20432302
20220601	trades	9	55236374
20220601	xinqing	8	1973899
20220601	xinqing	9	11070731
20220602	orders	8	27281969
20220602	orders	9	62881906
20220602	trades	8	20267332
20220602	trades	9	53625951
20220602	xinqing	8	1945517
20220602	xinqing	9	11042457
20220606	orders	8	28994834
20220606	orders	9	69780155
20220606	trades	8	22283359
20220606	trades	9	61535522
20220606	xinqing	8	1983432
20220606	xinqing	9	11319662
20220607	orders	8	30521897
20220607	orders	9	67868007
20220607	trades	8	23459427
20220607	trades	9	59472160
20220607	xinqing	8	1975590
20220607	xinqing	9	11111732
20220608	orders	8	28125581
20220608	orders	9	73673599
20220608	trades	8	20835722
20220608	trades	9	64752687
20220608	xinqing	8	1932949
20220608	xinqing	9	11427644
20220609	orders	8	29034744
20220609	orders	9	66805296
20220609	trades	8	21674987
20220609	trades	9	58364781
20220609	xinqing	8	1938307
20220609	xinqing	9	11097791
20220610	orders	8	26278229
20220610	orders	9	68761760
20220610	trades	8	19206269
20220610	trades	9	59889057
20220610	xinqing	8	1943385
20220610	xinqing	9	11083961
20220613	orders	8	27429317
20220613	orders	9	72912482
20220613	trades	8	20776213
20220613	trades	9	64111404
20220613	xinqing	8	1949827
20220613	xinqing	9	11246692
20220614	orders	8	28433638
20220614	orders	9	74480210
20220614	trades	8	21552454
20220614	trades	9	66042906
20220614	xinqing	8	1959562
20220614	xinqing	9	11326534
20220615	orders	8	32414141
20220615	orders	9	76819464
20220615	trades	8	25068956
20220615	trades	9	68188989
20220615	xinqing	8	1983238
20220615	xinqing	9	11325581
20220616	orders	8	30495247
20220616	orders	9	69491305
20220616	trades	8	22753240
20220616	trades	9	61043975
20220616	xinqing	8	1950120
20220616	xinqing	9	11183249
20220617	orders	8	27209005
20220617	orders	9	70748153
20220617	trades	8	19939958
20220617	trades	9	61619508
20220617	xinqing	8	1937578
20220617	xinqing	9	11267486
20220620	orders	8	30127069
20220620	orders	9	68377783
20220620	trades	8	23235410
20220620	trades	9	59493844
20220620	xinqing	8	1958032
20220620	xinqing	9	11215438
20220621	orders	8	29108535
20220621	orders	9	69339212
20220621	trades	8	21552680
20220621	trades	9	60829933
20220621	xinqing	8	1950491
20220621	xinqing	9	11264230
20220622	orders	8	26788001
20220622	orders	9	65275270
20220622	trades	8	19550992
20220622	trades	9	56575429
20220622	xinqing	8	1937973
20220622	xinqing	9	10996471
20220623	orders	8	27203931
20220623	orders	9	67687584
20220623	trades	8	20154316
20220623	trades	9	58326977
20220623	xinqing	8	1922957
20220623	xinqing	9	11175777
20220624	orders	8	28686509
20220624	orders	9	68038442
20220624	trades	8	21298679
20220624	trades	9	58415850
20220624	xinqing	8	1937011
20220624	xinqing	9	11169860
20220627	orders	8	29381056
20220627	orders	9	68842390
20220627	trades	8	22093659
20220627	trades	9	59894863
20220627	xinqing	8	1958914
20220627	xinqing	9	11218451
20220628	orders	8	30381775
20220628	orders	9	70646468
20220628	trades	8	22674304
20220628	trades	9	61221363
20220628	xinqing	8	1960549
20220628	xinqing	9	11339992
20220629	orders	8	34635497
20220629	orders	9	73615721
20220629	trades	8	26884811
20220629	trades	9	65171220
20220629	xinqing	8	1997192
20220629	xinqing	9	11406489
20220630	orders	8	29387397
20220630	orders	9	68675028
20220630	trades	8	21957500
20220630	trades	9	59621685
20220630	xinqing	8	1948303
20220630	xinqing	9	11294661
20220701	orders	8	29652399
20220701	orders	9	63344951
20220701	trades	8	22101056
20220701	trades	9	54290943
20220701	xinqing	8	1953328
20220701	xinqing	9	11062848
20220704	orders	8	30474198
20220704	orders	9	65422908
20220704	trades	8	23160302
20220704	trades	9	56681458
20220704	xinqing	8	1967509
20220704	xinqing	9	11111837
20220705	orders	8	29992540
20220705	orders	9	71113474
20220705	trades	8	22283392
20220705	trades	9	62048233
20220705	xinqing	8	1953191
20220705	xinqing	9	11400504
20220706	orders	8	29497060
20220706	orders	9	66617806
20220706	trades	8	21940345
20220706	trades	9	58163409
20220706	xinqing	8	1943359
20220706	xinqing	9	11118459
20220707	orders	8	27556343
20220707	orders	9	64542177
20220707	trades	8	20312254
20220707	trades	9	55065616
20220707	xinqing	8	1927857
20220707	xinqing	9	10937497
20220708	orders	8	28379979
20220708	orders	9	61389069
20220708	trades	8	20977226
20220708	trades	9	52484101
20220708	xinqing	8	1948410
20220708	xinqing	9	10803634
20220711	orders	8	30058547
20220711	orders	9	61816019
20220711	trades	8	23201250
20220711	trades	9	53725001
20220711	xinqing	8	1943084
20220711	xinqing	9	10896201
20220712	orders	8	28073169
20220712	orders	9	64537678
20220712	trades	8	21015599
20220712	trades	9	56002089
20220712	xinqing	8	1916872
20220712	xinqing	9	10992471
20220713	orders	8	26401296
20220713	orders	9	62236464
20220713	trades	8	19267087
20220713	trades	9	53496632
20220713	xinqing	8	1906803
20220713	xinqing	9	10880479
20220714	orders	8	28568539
20220714	orders	9	62883576
20220714	trades	8	21566290
20220714	trades	9	54732456
20220714	xinqing	8	1921450
20220714	xinqing	9	10872454
20220715	orders	8	31170295
20220715	orders	9	67204025
20220715	trades	8	23917712
20220715	trades	9	59607026
20220715	xinqing	8	1992122
20220715	xinqing	9	11131706
20220718	orders	8	29039337
20220718	orders	9	65705429
20220718	trades	8	22267881
20220718	trades	9	56974459
20220718	xinqing	8	1976376
20220718	xinqing	9	11100119
20220719	orders	8	28882954
20220719	orders	9	64698829
20220719	trades	8	21527390
20220719	trades	9	56379117
20220719	xinqing	8	1949375
20220719	xinqing	9	11062612
20220720	orders	8	27150894
20220720	orders	9	61928336
20220720	trades	8	19799380
20220720	trades	9	53655047
20220720	xinqing	8	1941518
20220720	xinqing	9	11032726
20220721	orders	8	28893869
20220721	orders	9	64374039
20220721	trades	8	21515545
20220721	trades	9	56411253
20220721	xinqing	8	1937979
20220721	xinqing	9	11005813
20220722	orders	8	27375406
20220722	orders	9	63248877
20220722	trades	8	20026756
20220722	trades	9	55282769
20220722	xinqing	8	1940785
20220722	xinqing	9	11246353
20220725	orders	8	27126937
20220725	orders	9	60048958
20220725	trades	8	20345599
20220725	trades	9	52386323
20220725	xinqing	8	1932013
20220725	xinqing	9	10964585
20220726	orders	8	25817005
20220726	orders	9	57374545
20220726	trades	8	19199847
20220726	trades	9	48988857
20220726	xinqing	8	1923187
20220726	xinqing	9	10867441
20220727	orders	8	25579287
20220727	orders	9	57032037
20220727	trades	8	18460675
20220727	trades	9	49288445
20220727	xinqing	8	1917554
20220727	xinqing	9	10900606
20220728	orders	8	27708841
20220728	orders	9	61547296
20220728	trades	8	20385915
20220728	trades	9	53994808
20220728	xinqing	8	1943892
20220728	xinqing	9	11140619
20220729	orders	8	27771327
20220729	orders	9	64221596
20220729	trades	8	20340410
20220729	trades	9	56452523
20220729	xinqing	8	1935636
20220729	xinqing	9	11209982
20220801	orders	8	27841477
20220801	orders	9	62100765
20220801	trades	8	21093431
20220801	trades	9	54131754
20220801	xinqing	8	1947092
20220801	xinqing	9	11117902
20220802	orders	8	36083856
20220802	orders	9	70895976
20220802	trades	8	29088346
20220802	trades	9	63050714
20220802	xinqing	8	2033354
20220802	xinqing	9	11668770
20220803	orders	8	29893236
20220803	orders	9	67631344
20220803	trades	8	22914758
20220803	trades	9	59775775
20220803	xinqing	8	1998961
20220803	xinqing	9	11184818
20220804	orders	8	27036199
20220804	orders	9	61378952
20220804	trades	8	20141958
20220804	trades	9	52815785
20220804	xinqing	8	1939214
20220804	xinqing	9	11080464
20220805	orders	8	25515481
20220805	orders	9	62262151
20220805	trades	8	18724956
20220805	trades	9	53581696
20220805	xinqing	8	1912996
20220805	xinqing	9	10995866
20220808	orders	8	27713269
20220808	orders	9	57180405
20220808	trades	8	20653773
20220808	trades	9	49049247
20220808	xinqing	8	1937993
20220808	xinqing	9	10829205
20220809	orders	8	25912201
20220809	orders	9	60622564
20220809	trades	8	18987419
20220809	trades	9	52548119
20220809	xinqing	8	1916677
20220809	xinqing	9	10824151
20220810	orders	8	26747038
20220810	orders	9	59832660
20220810	trades	8	19360194
20220810	trades	9	51667266
20220810	xinqing	8	1912661
20220810	xinqing	9	10782982
20220811	orders	8	27091369
20220811	orders	9	64351369
20220811	trades	8	19736622
20220811	trades	9	55947887
20220811	xinqing	8	1933694
20220811	xinqing	9	11240893
20220812	orders	8	28668692
20220812	orders	9	62858245
20220812	trades	8	20882812
20220812	trades	9	54987693
20220812	xinqing	8	1950067
20220812	xinqing	9	11138040
20220815	orders	8	29158260
20220815	orders	9	59649900
20220815	trades	8	21897614
20220815	trades	9	51664286
20220815	xinqing	8	1963525
20220815	xinqing	9	10939495
20220816	orders	8	27837185
20220816	orders	9	62080308
20220816	trades	8	20247266
20220816	trades	9	54356348
20220816	xinqing	8	1937687
20220816	xinqing	9	11074964
20220817	orders	8	28444379
20220817	orders	9	65789056
20220817	trades	8	20997288
20220817	trades	9	56819720
20220817	xinqing	8	1937892
20220817	xinqing	9	11079789
20220818	orders	8	28210267
20220818	orders	9	63905947
20220818	trades	8	20720954
20220818	trades	9	56126075
20220818	xinqing	8	1951546
20220818	xinqing	9	11058763
20220819	orders	8	29367142
20220819	orders	9	67057486
20220819	trades	8	21923305
20220819	trades	9	59322122
20220819	xinqing	8	1955139
20220819	xinqing	9	11181845
20220822	orders	8	29932611
20220822	orders	9	63230726
20220822	trades	8	22673880
20220822	trades	9	54683502
20220822	xinqing	8	1960972
20220822	xinqing	9	11117458
20220823	orders	8	28755355
20220823	orders	9	63230157
20220823	trades	8	21303769
20220823	trades	9	55182946
20220823	xinqing	8	1945868
20220823	xinqing	9	11144472
20220824	orders	8	29763015
20220824	orders	9	72499976
20220824	trades	8	22401080
20220824	trades	9	65091588
20220824	xinqing	8	1954042
20220824	xinqing	9	11574971
20220825	orders	8	26712724
20220825	orders	9	67694374
20220825	trades	8	20152741
20220825	trades	9	59119871
20220825	xinqing	8	1939447
20220825	xinqing	9	11263313
20220826	orders	8	28813743
20220826	orders	9	61495679
20220826	trades	8	21468579
20220826	trades	9	53326873
20220826	xinqing	8	1960107
20220826	xinqing	9	11071034
20220829	orders	8	29040099
20220829	orders	9	59005318
20220829	trades	8	22233520
20220829	trades	9	51134622
20220829	xinqing	8	1982021
20220829	xinqing	9	11104658
20220830	orders	8	28838778
20220830	orders	9	61946883
20220830	trades	8	21222454
20220830	trades	9	53617698
20220830	xinqing	8	1968325
20220830	xinqing	9	11144036
20220831	orders	8	30100123
20220831	orders	9	69379399
20220831	trades	8	22966111
20220831	trades	9	61079251
20220831	xinqing	8	1978542
20220831	xinqing	9	11438327
20220901	orders	8	26243010
20220901	orders	9	61780813
20220901	trades	8	19345967
20220901	trades	9	53741388
